                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.69,                 3.8385,                 3.0176,                0.57466,                0.33333,                0.37677,                0.19214,                 1.5727,                 3.2991,                 1.9538,             0.00066655,             0.00066655,             0.00066655
                      2,                 2.0156,                  2.597,                 2.2363,                0.73321,                0.39868,                0.54518,                0.28631,                 1.3431,                 3.5345,                  1.684,              0.0012804,              0.0012804,              0.0012804
                      3,                 1.8324,                 2.3159,                 2.0461,                0.71059,                0.54475,                0.66282,                0.35952,                 1.3238,                 2.4034,                 1.6191,              0.0018415,              0.0018415,              0.0018415
                      4,                 1.7106,                 2.1307,                  1.934,                0.78041,                0.58642,                0.73259,                0.44551,                 1.1513,                  2.021,                 1.4771,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.6451,                 1.9911,                 1.8688,                0.80339,                0.73611,                0.82353,                0.52342,                 1.1169,                  2.322,                 1.4332,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.5676,                 1.8305,                 1.7954,                 0.8331,                0.72377,                0.84154,                0.55302,                 1.0853,                 1.4541,                 1.4212,              0.0016832,              0.0016832,              0.0016832
                      7,                  1.531,                 1.7686,                   1.76,                 0.8569,                0.77469,                0.87191,                0.57863,                 1.0654,                 1.4574,                 1.3988,               0.001604,               0.001604,               0.001604
                      8,                 1.4794,                 1.6856,                 1.7185,                0.89815,                0.76389,                0.88338,                0.59262,                 1.0165,                 1.4835,                 1.3344,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.4506,                 1.6145,                 1.6873,                0.89328,                0.79784,                0.90026,                0.60306,                0.99494,                 1.4537,                 1.3038,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.4235,                 1.5697,                 1.6663,                0.90661,                0.83894,                0.92181,                0.62796,                0.96193,                 1.3595,                 1.2698,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.4001,                 1.5159,                 1.6495,                0.93262,                 0.8117,                0.91718,                 0.6507,                0.94076,                 1.2354,                 1.2592,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.3624,                 1.4403,                 1.6153,                0.93346,                0.82267,                 0.9303,                 0.6534,                 0.9169,                 1.0914,                 1.2376,               0.001208,               0.001208,               0.001208
                     13,                 1.3551,                 1.4194,                 1.6054,                0.93782,                 0.8642,                 0.9439,                0.65417,                0.89316,                 1.1794,                 1.2109,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.3307,                 1.3926,                 1.5878,                0.94795,                0.86111,                0.94107,                0.67347,                0.88704,                 1.1298,                 1.2039,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.3159,                 1.3452,                 1.5834,                0.95251,                 0.8667,                 0.9437,                0.68762,                0.88407,                 1.0369,                 1.1997,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.1858,                0.99863,                 1.5387,                0.93687,                0.89318,                0.95066,                0.70527,                0.84192,                 0.9131,                 1.1687,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.1545,                0.94929,                 1.5129,                0.94311,                0.89043,                0.95413,                 0.7105,                0.83404,                0.93567,                 1.1584,               0.000812,               0.000812,               0.000812
                     18,                 1.1289,                0.91672,                 1.4904,                0.95501,                0.89043,                0.95627,                0.71493,                0.82588,                0.78439,                 1.1495,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.1133,                0.87738,                 1.4793,                0.96147,                0.91049,                0.96226,                0.72452,                0.81483,                0.81106,                 1.1429,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.0896,                0.85221,                 1.4599,                0.96337,                0.90586,                0.96142,                0.72885,                0.79961,                0.79833,                 1.1347,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0648,                 0.8105,                 1.4375,                0.96999,                0.89781,                0.96369,                0.73704,                0.78925,                0.74822,                 1.1266,              0.0004952,              0.0004952,              0.0004952
                     22,                  1.057,                0.79374,                 1.4223,                0.96363,                0.89953,                0.96586,                0.74085,                0.77012,                0.70716,                 1.1134,               0.000416,               0.000416,               0.000416
                     23,                 1.0255,                0.76209,                  1.399,                0.96512,                0.90741,                0.96519,                0.74414,                0.76915,                0.68122,                 1.1073,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.0141,                0.74865,                 1.3952,                0.96108,                0.91458,                0.96422,                0.74812,                0.76843,                0.71349,                 1.1096,              0.0002576,              0.0002576,              0.0002576
                     25,                 0.9992,                0.73576,                 1.3858,                0.95331,                0.91358,                0.96302,                0.74972,                0.75913,                0.69007,                 1.1014,              0.0001784,              0.0001784,              0.0001784
