                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2541,                 4.1002,                 3.5525,                 0.3894,                0.29012,                0.25694,                0.11035,                 1.8843,                 3.6778,                 2.0909,              0.0033328,              0.0033328,              0.0033328
                      2,                 2.3414,                 2.7384,                 2.4059,                0.59155,                0.43582,                0.51282,                0.25585,                 1.5535,                 2.7411,                 1.5982,              0.0065341,              0.0065341,              0.0065341
                      3,                 2.0378,                 2.4318,                 2.0649,                0.54355,                0.55093,                0.55743,                0.29222,                 1.4015,                 1.8366,                 1.4334,              0.0096034,              0.0096034,              0.0096034
                      4,                 1.8741,                  2.226,                 1.8913,                0.69159,                0.62037,                0.69321,                0.40387,                 1.2322,                 1.7918,                 1.3149,               0.009406,               0.009406,               0.009406
                      5,                  1.753,                 2.0537,                 1.7919,                 0.7806,                0.68519,                0.78492,                0.45944,                 1.1709,                 1.6972,                 1.2695,               0.009406,               0.009406,               0.009406
                      6,                 1.6749,                 1.8953,                 1.7183,                0.88231,                0.72377,                 0.8528,                0.52864,                 1.0908,                  1.278,                 1.1852,               0.009208,               0.009208,               0.009208
                      7,                 1.6337,                 1.8133,                 1.6842,                  0.917,                0.75309,                0.86862,                0.54256,                 1.0975,                 1.4107,                 1.1969,                0.00901,                0.00901,                0.00901
                      8,                 1.5849,                 1.7349,                 1.6428,                0.88733,                 0.7778,                0.86304,                0.55127,                 1.0527,                  1.385,                 1.1555,               0.008812,               0.008812,               0.008812
                      9,                 1.5507,                  1.658,                 1.6112,                0.90787,                0.80093,                0.88971,                0.55176,                0.99877,                 1.2536,                 1.1202,               0.008614,               0.008614,               0.008614
                     10,                 1.5291,                 1.6233,                 1.5936,                0.87763,                0.84259,                0.90286,                0.60907,                0.96909,                 1.3983,                 1.0992,               0.008416,               0.008416,               0.008416
                     11,                 1.4974,                 1.5746,                 1.5766,                0.90675,                0.82536,                0.91485,                0.62053,                0.96497,                 1.3158,                 1.0866,               0.008218,               0.008218,               0.008218
                     12,                 1.4701,                  1.524,                 1.5515,                0.90282,                0.83155,                0.92182,                0.63492,                0.93955,                 1.1206,                 1.0771,                0.00802,                0.00802,                0.00802
                     13,                  1.461,                  1.497,                 1.5452,                0.94646,                0.84259,                0.93399,                0.63538,                0.90661,                 1.2036,                 1.0449,               0.007822,               0.007822,               0.007822
                     14,                 1.4411,                 1.4743,                 1.5306,                0.93412,                0.85337,                0.93189,                0.65457,                0.89331,                 1.1275,                 1.0501,               0.007624,               0.007624,               0.007624
                     15,                 1.4204,                 1.4402,                 1.5224,                 0.9221,                0.85185,                 0.9335,                0.65783,                0.90863,                 1.0633,                 1.0554,               0.007426,               0.007426,               0.007426
